"method","results"
"p0.05",19.3061787929034
"p0.15",19.6532529405473
"step.aic",20.6400668971101
"step.bic",18.1854298343307
"ridge",17.5133974184225
"lasso.min",18.0717705750304
"lasso.1se",18.3877711801566
"enet.min",17.3857299931382
"enet.1se",18.1498582713965
"ols",20.9073859914417
"p0.05",18.5294117195981
"p0.15",19.5716796236125
"step.aic",20.1717842643324
"step.bic",18.5104584984893
"ridge",18.9324408663149
"lasso.min",18.4222602688499
"lasso.1se",18.5965364104084
"enet.min",18.8439779534097
"enet.1se",19.1223868918591
"ols",21.2793535669948
"p0.05",21.1318694226105
"p0.15",23.5283272328499
"step.aic",21.0296242834612
"step.bic",20.7228769803199
"ridge",19.9172402148592
"lasso.min",21.2322866719611
"lasso.1se",21.035834413785
"enet.min",19.8713055152185
"enet.1se",20.214536684066
"ols",20.7229245388693
"p0.05",20.0245915819041
"p0.15",22.6040929279068
"step.aic",22.4299373585501
"step.bic",22.4700156449843
"ridge",19.6541418009435
"lasso.min",20.6542562089084
"lasso.1se",20.7024927128423
"enet.min",19.6035286474607
"enet.1se",20.1465211477078
"ols",19.9945944997963
"p0.05",20.3075774974168
"p0.15",20.5835162279012
"step.aic",20.327451038509
"step.bic",19.5166197294865
"ridge",18.5270036045722
"lasso.min",18.9749946318004
"lasso.1se",19.7540823867323
"enet.min",18.681851788338
"enet.1se",19.4717095289361
"ols",17.7694385690698
"p0.05",20.4126381074822
"p0.15",19.6035188286249
"step.aic",20.7145165076187
"step.bic",20.4914562714587
"ridge",17.8930141507396
"lasso.min",19.799065835108
"lasso.1se",20.8204263203304
"enet.min",19.799065835108
"enet.1se",20.8204263203304
"ols",17.8977280046728
"p0.05",18.0754754292425
"p0.15",17.7601052140855
"step.aic",18.1345872348033
"step.bic",18.8685133658416
"ridge",17.1358503027119
"lasso.min",18.431771520673
"lasso.1se",19.7809413938098
"enet.min",17.1672812082987
"enet.1se",18.9952635917404
"ols",20.6258997558771
"p0.05",16.9843589034089
"p0.15",19.2908447010812
"step.aic",20.2995039210071
"step.bic",18.0001289913032
"ridge",18.0981380683443
"lasso.min",18.0506263178954
"lasso.1se",17.2278191194874
"enet.min",17.8945311936945
"enet.1se",17.2193822314247
"ols",19.0885544350193
"p0.05",18.9371270937625
"p0.15",18.5920272276286
"step.aic",18.6746797687331
"step.bic",18.8081711652075
"ridge",17.7996348235841
"lasso.min",18.259525455573
"lasso.1se",20.1676226641143
"enet.min",17.8020376527555
"enet.1se",20.4518038469026
"ols",17.2304754982629
"p0.05",17.560327219097
"p0.15",18.5503912751578
"step.aic",18.0942280517552
"step.bic",17.4775462523003
"ridge",15.5746468307928
"lasso.min",16.2921251047757
"lasso.1se",17.2772247548152
"enet.min",15.5457378949329
"enet.1se",16.5882570092016
"ols",25.4076016189916
"p0.05",23.6343224108467
"p0.15",24.8002855396084
"step.aic",25.9635913513957
"step.bic",23.3074423595915
"ridge",21.5494124791064
"lasso.min",21.8775326860253
"lasso.1se",23.693756676541
"enet.min",21.1113034555472
"enet.1se",22.8932215933557
"ols",22.6539264171192
"p0.05",24.5124867120415
"p0.15",22.9835000154785
"step.aic",24.2156718687294
"step.bic",24.885572788796
"ridge",20.784938915394
"lasso.min",22.166698700235
"lasso.1se",22.5027412735355
"enet.min",21.1653597000171
"enet.1se",22.1828835672959
"ols",15.5447355425877
"p0.05",16.3606098347086
"p0.15",16.7304132070382
"step.aic",16.108465493289
"step.bic",16.8348980451548
"ridge",15.2488394962741
"lasso.min",17.1058231600272
"lasso.1se",18.8886187246995
"enet.min",17.1058231600272
"enet.1se",18.8886187246995
"ols",12.8500946751018
"p0.05",10.9174448426102
"p0.15",13.3387951879498
"step.aic",13.0798800080993
"step.bic",10.892817781174
"ridge",11.1277123867087
"lasso.min",10.8169069861892
"lasso.1se",13.4681468370861
"enet.min",11.134439504421
"enet.1se",13.2528123734287
"ols",24.7352642261956
"p0.05",23.2912724898922
"p0.15",24.4576859771041
"step.aic",23.6478195374734
"step.bic",24.3165000018363
"ridge",21.7820014701618
"lasso.min",22.1625448850942
"lasso.1se",20.9230003583816
"enet.min",21.9475268154836
"enet.1se",21.242569614199
"ols",18.7130778774519
"p0.05",17.8793245547894
"p0.15",17.3681699547194
"step.aic",19.6011697898365
"step.bic",18.3755848902131
"ridge",17.353148944119
"lasso.min",17.81540176014
"lasso.1se",18.1517016864474
"enet.min",17.336879391092
"enet.1se",17.8068946004112
"ols",17.028623864758
"p0.05",17.3585821175983
"p0.15",17.618469031668
"step.aic",18.1948092046443
"step.bic",16.858189074283
"ridge",16.0519729589431
"lasso.min",16.8287411990068
"lasso.1se",17.7564573249357
"enet.min",16.007853186495
"enet.1se",17.4682443417294
"ols",20.5977632812151
"p0.05",20.126672065571
"p0.15",20.1276299586875
"step.aic",19.6823177277118
"step.bic",20.196296481851
"ridge",20.2036894892849
"lasso.min",21.1577890184728
"lasso.1se",22.9596033201757
"enet.min",20.2938247918702
"enet.1se",22.5962387121792
"ols",26.9166148578822
"p0.05",23.3344384029599
"p0.15",23.9837805781343
"step.aic",26.6281404417677
"step.bic",22.2832324820757
"ridge",23.4660728316725
"lasso.min",23.7180619870484
"lasso.1se",21.3865556581093
"enet.min",23.1282921661072
"enet.1se",22.0019975460036
"ols",16.293174629134
"p0.05",18.8884689334275
"p0.15",18.2640800139734
"step.aic",17.6830012450513
"step.bic",19.4348804050895
"ridge",16.8860911113824
"lasso.min",19.7600058650397
"lasso.1se",21.4295065514608
"enet.min",17.1181109539236
"enet.1se",21.6552840848081
"ols",20.6835048738046
"p0.05",21.9317981995537
"p0.15",21.4594495086903
"step.aic",21.2519477309896
"step.bic",21.7367225923407
"ridge",21.9086365609792
"lasso.min",21.8229295151366
"lasso.1se",25.2464899344097
"enet.min",22.0739327629821
"enet.1se",25.1228506242579
"ols",19.3574904636665
"p0.05",19.7114094399917
"p0.15",19.6534999496182
"step.aic",18.8677990397626
"step.bic",18.9031996243742
"ridge",18.655888673117
"lasso.min",18.8660110262179
"lasso.1se",20.639830015864
"enet.min",18.722105407328
"enet.1se",20.5950825562096
"ols",20.8001840159995
"p0.05",17.6021944224173
"p0.15",18.8601218267559
"step.aic",20.4900067682551
"step.bic",16.0925073126594
"ridge",17.1290624841978
"lasso.min",17.2163467220339
"lasso.1se",16.0607158372349
"enet.min",16.3669073719375
"enet.1se",16.1617189302913
"ols",17.3535774466161
"p0.05",18.5070344475559
"p0.15",17.7762930603671
"step.aic",17.3506115168013
"step.bic",18.6565087314999
"ridge",17.0302501578747
"lasso.min",18.3919893628653
"lasso.1se",19.3697660255427
"enet.min",17.113841872136
"enet.1se",18.8643808254243
"ols",17.0694410464423
"p0.05",14.8543874774995
"p0.15",15.7767985520699
"step.aic",17.1643589783777
"step.bic",15.2830184598273
"ridge",15.2036701940533
"lasso.min",16.1027877699515
"lasso.1se",18.0600205385886
"enet.min",15.2359287013199
"enet.1se",16.8193545581658
"ols",15.9354591680382
"p0.05",15.789781190181
"p0.15",15.8472053036023
"step.aic",15.4909467655084
"step.bic",16.2478668698768
"ridge",14.8416051180564
"lasso.min",15.3889350058235
"lasso.1se",17.7813187648703
"enet.min",14.8440867183911
"enet.1se",17.0444449835052
"ols",17.8629090660503
"p0.05",17.0080000211373
"p0.15",18.071475626961
"step.aic",18.7385130766233
"step.bic",17.6231827849847
"ridge",17.2086391952745
"lasso.min",17.1955795409754
"lasso.1se",19.5658649023834
"enet.min",17.2224964312708
"enet.1se",19.473500288176
"ols",14.7534840924733
"p0.05",15.9226251440872
"p0.15",16.9743378126242
"step.aic",15.3509234266188
"step.bic",14.2033660808083
"ridge",13.9765318432671
"lasso.min",14.3802144869281
"lasso.1se",16.2046491943964
"enet.min",14.0429693430782
"enet.1se",16.6414614664142
"ols",19.5080190685658
"p0.05",18.0672958202871
"p0.15",20.022617646069
"step.aic",19.7228326476182
"step.bic",18.1029278400922
"ridge",15.8050427159803
"lasso.min",17.4404053351392
"lasso.1se",15.9473975119725
"enet.min",16.3718373386051
"enet.1se",15.9800390634476
"ols",16.8781193515667
"p0.05",17.4874733088575
"p0.15",17.1308900570915
"step.aic",16.582331561492
"step.bic",17.4635231848034
"ridge",15.6872582548077
"lasso.min",16.3312609095567
"lasso.1se",17.7890650474335
"enet.min",15.7265828811433
"enet.1se",17.7074854010523
"ols",23.6704152227278
"p0.05",25.8183672003533
"p0.15",26.946208498374
"step.aic",26.1669437220267
"step.bic",27.2901815785276
"ridge",23.7397339917821
"lasso.min",24.615834787295
"lasso.1se",26.922026845366
"enet.min",24.2454743974825
"enet.1se",26.7010579504579
"ols",24.3857762157518
"p0.05",20.6555661948037
"p0.15",23.8254067205406
"step.aic",23.6164710781753
"step.bic",22.3558490615602
"ridge",21.1187772802141
"lasso.min",20.8837152218145
"lasso.1se",21.5351821911126
"enet.min",20.9297634035195
"enet.1se",21.881102270567
"ols",17.148082373851
"p0.05",17.144656001805
"p0.15",17.8149519256245
"step.aic",16.6306491409416
"step.bic",16.4325267639141
"ridge",16.0878995919173
"lasso.min",15.9629998581258
"lasso.1se",16.9048071468699
"enet.min",16.0740928617271
"enet.1se",16.8936578123362
"ols",20.3909195567216
"p0.05",17.1338594217448
"p0.15",19.2899181644201
"step.aic",18.9190327566625
"step.bic",17.3995010283166
"ridge",17.908341821379
"lasso.min",17.3985093698825
"lasso.1se",18.9389618115266
"enet.min",17.7228874187692
"enet.1se",18.6688354269511
"ols",20.9853503787423
"p0.05",20.4869536291336
"p0.15",21.815805491211
"step.aic",21.5372770904617
"step.bic",20.0587659032558
"ridge",19.3600534317652
"lasso.min",19.6818856403092
"lasso.1se",19.8309488249544
"enet.min",19.3162368876683
"enet.1se",19.7021755837231
"ols",18.7428043973973
"p0.05",20.8581916713046
"p0.15",20.607359611319
"step.aic",18.1322981965669
"step.bic",20.667430621324
"ridge",19.1428551288309
"lasso.min",20.7451500133312
"lasso.1se",23.6366205289416
"enet.min",19.1448074236694
"enet.1se",23.4540248599803
"ols",21.787255234758
"p0.05",20.4064875582916
"p0.15",20.0801328833581
"step.aic",21.8537527719949
"step.bic",20.82527951607
"ridge",20.9838589869747
"lasso.min",20.8039595230264
"lasso.1se",19.7534805297754
"enet.min",20.9833289155594
"enet.1se",21.2809601727524
"ols",14.5204644215848
"p0.05",15.969808717183
"p0.15",15.6031296482862
"step.aic",16.4084129410602
"step.bic",15.7514696080022
"ridge",13.7622352730424
"lasso.min",14.9783288347205
"lasso.1se",15.2234290429495
"enet.min",14.9783288347205
"enet.1se",15.2234290429495
"ols",17.5047872834461
"p0.05",19.7192636725114
"p0.15",18.5535341260604
"step.aic",18.9735954646375
"step.bic",19.8644812338196
"ridge",17.5206352676328
"lasso.min",19.3411465288461
"lasso.1se",20.8027282596686
"enet.min",17.9367591807653
"enet.1se",21.1081977508524
"ols",22.9291438452816
"p0.05",23.5015211550087
"p0.15",23.1569743687749
"step.aic",22.6853995139609
"step.bic",24.2311303248734
"ridge",22.7547862152184
"lasso.min",21.8025849874766
"lasso.1se",25.6270200872572
"enet.min",22.8252546073624
"enet.1se",25.4613614234025
"ols",16.9409019399248
"p0.05",18.4030548429241
"p0.15",18.2463697362514
"step.aic",19.3189936543162
"step.bic",17.8928791363552
"ridge",16.7320876054214
"lasso.min",17.5775437803327
"lasso.1se",21.8360839609037
"enet.min",16.7924835152172
"enet.1se",21.7639874045173
"ols",23.2056996533935
"p0.05",24.5737813971841
"p0.15",24.1860255250223
"step.aic",23.3553871960402
"step.bic",23.7565737720823
"ridge",22.1974905489025
"lasso.min",22.7874827954693
"lasso.1se",24.3223459353728
"enet.min",22.5580450530839
"enet.1se",24.4406220797474
"ols",21.0249716352937
"p0.05",20.6081890834017
"p0.15",19.8780583244958
"step.aic",21.2825766112391
"step.bic",20.2704983154965
"ridge",18.9452948213968
"lasso.min",19.4747404052126
"lasso.1se",20.5291269897282
"enet.min",18.9038081380985
"enet.1se",20.3471338654799
"ols",19.0509571130014
"p0.05",19.4910440475698
"p0.15",19.887754826625
"step.aic",19.6399255620747
"step.bic",20.6608432177908
"ridge",20.0587268110542
"lasso.min",19.9270438980685
"lasso.1se",23.2027519148458
"enet.min",20.2785886691798
"enet.1se",23.1203908904336
"ols",16.2073153854591
"p0.05",13.8136292118891
"p0.15",14.5608790498115
"step.aic",14.997703340957
"step.bic",14.3973708295658
"ridge",13.0450977039496
"lasso.min",13.2879904550244
"lasso.1se",13.3898496666811
"enet.min",12.6564891236938
"enet.1se",13.1322191276796
"ols",20.3200468648146
"p0.05",20.6678989737271
"p0.15",23.1886981651197
"step.aic",20.4703417116014
"step.bic",22.209173033793
"ridge",20.3795975113875
"lasso.min",21.2592080630884
"lasso.1se",24.2467863138859
"enet.min",20.5088224582128
"enet.1se",23.6688651417755
"ols",14.4405672700078
"p0.05",16.1227653085035
"p0.15",16.063166320776
"step.aic",15.4059658482761
"step.bic",16.7563213360791
"ridge",15.0627565029279
